order_id,customer_id,order_date,marketing_channel,total_amount,order_status
O00182,C0534,2025-07-08,Organic Search,134.52,Completed
O00183,C0680,2025-08-07,Organic Search,444.62,Completed
O00184,C0118,2025-01-10,Email,404.58,Completed
O00185,C0396,2025-04-27,Organic Search,257.91,Completed
O00186,C0668,2025-10-31,Organic Search,140.87,Completed
O00187,C0642,2025-01-08,Organic Search,378.81,Completed
O00188,C0663,2026-03-22,Referral,37.12,Completed
O00189,C0056,2025-03-17,Organic Search,62.48,Completed
O00190,C0462,2026-02-02,Email,83.95,Completed
O00191,C0775,2025-03-06,Referral,66.28,Completed
O00192,C0622,2025-11-05,Organic Search,385.15,Completed
O00193,C0559,2026-02-05,Organic Search,440.6,Returned
O00194,C0567,2025-01-12,Referral,172.36,Completed
O00195,C0313,2025-03-29,Organic Search,200.66,Completed
O00196,C0199,2025-09-16,Organic Search,327.63,Completed
O00197,C0257,2025-03-10,Organic Search,303.57,Completed
O00198,C0326,2025-07-18,Paid Search,64.11,Completed
O00199,C0439,2025-11-20,Organic Search,200.6,Completed
O00200,C0138,2026-01-04,Email,122.06,Completed
O00201,C0180,2025-04-22,Email,111.88,Completed
O00202,C0752,2025-09-27,Social,142.12,Completed
O00203,C0788,2026-02-19,Email,351.58,Completed
O00204,C0514,2026-04-21,Paid Search,97.81,Completed
O00205,C0776,2025-06-19,Paid Search,183.93,Completed
O00206,C0754,2025-05-30,Referral,484.52,Completed
O00207,C0466,2026-04-26,Social,153.84,Completed
O00208,C0760,2025-10-08,Organic Search,408.47,Completed
O00209,C0229,2026-01-21,Paid Search,78.43,Completed
O00210,C0143,2026-05-29,Paid Search,56.54,Completed
O00211,C0677,2025-05-02,Organic Search,328.94,Completed
O00212,C0045,2025-09-07,Organic Search,168.83,Returned
O00213,C0614,2026-02-20,Social,238.96,Completed
O00214,C0616,2026-02-25,Organic Search,239.39,Completed
O00215,C0236,2025-03-12,Paid Search,98.03,Completed
O00216,C0154,2026-03-06,Email,340.14,Completed
O00217,C0494,2025-04-06,Email,458.6,Returned
O00218,C0788,2026-05-09,Paid Search,361.22,Completed
O00219,C0264,2026-02-23,Organic Search,156.46,Completed
O00220,C0371,2026-02-23,Organic Search,60.93,Completed
O00221,C0697,2025-10-10,Paid Search,127.31,Completed
O00222,C0592,2025-11-11,Paid Search,210.78,Returned
O00223,C0220,2025-04-13,Paid Search,315.14,Completed
O00224,C0091,2026-03-22,Organic Search,69.34,Returned
O00225,C0629,2026-02-15,Email,360.46,Completed
O00226,C0011,2026-03-26,Organic Search,192.0,Completed
O00227,C0369,2025-02-06,Organic Search,172.97,Completed
O00228,C0416,2026-02-09,Email,133.84,Completed
O00229,C0356,2025-12-23,Social,212.62,Completed
O00230,C0417,2025-06-29,Paid Search,538.28,Completed
O00231,C0711,2025-09-14,Paid Search,132.51,Returned
O00232,C0698,2026-04-15,Paid Search,297.92,Completed
O00233,C0324,2025-08-24,Paid Search,86.7,Completed
O00234,C0690,2026-02-13,Referral,175.9,Completed
O00235,C0188,2025-10-03,Social,390.34,Completed
O00236,C0634,2025-09-13,Paid Search,285.55,Completed
O00237,C0494,2025-02-13,Paid Search,66.58,Completed
O00238,C0408,2025-10-14,Organic Search,396.91,Completed
O00239,C0469,2025-06-28,Social,329.38,Completed
O00240,C0192,2025-09-23,Email,243.3,Completed
O00241,C0216,2026-03-11,Paid Search,228.9,Completed
O00242,C0739,2025-04-13,Organic Search,257.18,Completed
O00243,C0485,2025-06-03,Referral,136.06,Completed
O00244,C0499,2025-11-20,Organic Search,362.96,Completed
O00245,C0461,2025-04-09,Referral,85.8,Completed
O00246,C0422,2025-01-21,Organic Search,578.39,Completed
O00247,C0081,2026-04-03,Paid Search,73.12,Returned
O00248,C0647,2026-03-08,Email,64.08,Completed
O00249,C0728,2025-10-26,Organic Search,229.25,Returned
O00250,C0172,2026-02-28,Organic Search,212.76,Completed
O00251,C0216,2025-03-23,Organic Search,131.74,Completed
O00252,C0537,2026-02-11,Referral,55.24,Returned
O00253,C0317,2026-02-04,Organic Search,288.77,Completed
O00254,C0488,2025-11-30,Paid Search,399.26,Completed
O00255,C0537,2026-03-22,Email,273.15,Completed
O00256,C0011,2025-11-07,Organic Search,216.92,Completed
O00257,C0010,2025-11-03,Referral,390.0,Completed
O00258,C0733,2025-06-17,Referral,180.42,Completed
O00259,C0292,2025-10-06,Email,254.39,Completed
O00260,C0279,2026-04-09,Email,127.01,Completed
O00261,C0105,2025-07-10,Organic Search,152.3,Completed
O00262,C0223,2026-05-21,Paid Search,374.43,Completed
O00263,C0083,2025-12-05,Referral,401.81,Completed
O00264,C0395,2025-09-12,Referral,177.24,Completed
O00265,C0485,2025-08-02,Paid Search,503.0,Completed
O00266,C0242,2025-04-26,Email,369.28,Completed
O00267,C0010,2025-09-06,Social,195.5,Completed
O00268,C0778,2025-12-13,Email,37.68,Completed
O00269,C0325,2025-08-27,Social,357.8,Completed
O00270,C0041,2025-09-14,Paid Search,68.98,Completed
O00271,C0332,2025-12-23,Referral,168.4,Completed
O00272,C0555,2025-09-27,Paid Search,213.54,Completed
O00273,C0795,2026-01-08,Email,66.78,Completed
O00274,C0785,2026-05-25,Email,326.16,Completed
O00275,C0183,2025-05-13,Referral,113.49,Completed
O00276,C0674,2026-02-02,Paid Search,161.19,Completed
O00277,C0082,2026-05-19,Paid Search,213.5,Completed
O00278,C0542,2025-09-30,Organic Search,65.03,Completed
O00279,C0743,2025-04-14,Organic Search,205.6,Completed
O00280,C0572,2025-07-03,Referral,130.69,Completed
O00281,C0107,2026-03-14,Organic Search,204.25,Completed
O00282,C0361,2026-03-30,Social,291.61,Completed
O00283,C0385,2025-08-08,Referral,454.47,Cancelled
O00284,C0007,2025-11-06,Organic Search,149.56,Completed
O00285,C0567,2025-10-10,Paid Search,198.73,Completed
O00286,C0263,2025-08-27,Referral,186.12,Completed
O00287,C0495,2025-11-29,Organic Search,345.95,Completed
O00288,C0427,2026-03-21,Social,209.07,Returned
O00289,C0056,2026-01-27,Organic Search,36.98,Completed
O00290,C0457,2026-02-07,Referral,194.44,Completed
O00291,C0562,2025-02-20,Paid Search,126.71,Completed
O00292,C0500,2025-07-22,Paid Search,346.13,Completed
O00293,C0434,2026-02-28,Paid Search,70.92,Completed
O00294,C0632,2025-12-25,Referral,227.63,Completed
O00295,C0116,2025-03-29,Referral,75.78,Completed
O00296,C0313,2025-04-24,Paid Search,203.94,Completed
O00297,C0562,2025-09-22,Paid Search,113.36,Completed
O00298,C0062,2025-06-24,Organic Search,160.34,Completed
O00299,C0111,2026-01-04,Organic Search,661.2,Completed
O00300,C0575,2026-04-14,Social,373.92,Completed
O00301,C0019,2025-06-10,Paid Search,76.01,Completed
O00302,C0641,2025-03-05,Organic Search,199.46,Completed
O00303,C0403,2025-12-16,Email,205.09,Completed
O00304,C0428,2025-08-21,Organic Search,133.32,Completed
O00305,C0669,2025-07-31,Organic Search,523.46,Completed
O00306,C0672,2025-05-29,Social,382.03,Completed
O00307,C0422,2026-02-28,Organic Search,125.39,Completed
O00308,C0621,2025-10-01,Email,175.64,Completed
O00309,C0138,2026-05-04,Paid Search,219.17,Completed
O00310,C0277,2025-01-16,Social,197.35,Returned
O00311,C0632,2026-03-26,Paid Search,317.7,Completed
O00312,C0738,2026-01-25,Organic Search,297.92,Completed
O00313,C0753,2026-02-10,Organic Search,166.83,Completed
O00314,C0473,2025-10-20,Organic Search,183.17,Completed
O00315,C0093,2026-04-08,Referral,34.21,Completed
O00316,C0605,2026-04-10,Social,355.89,Completed
O00317,C0088,2026-01-07,Paid Search,176.93,Completed
O00318,C0580,2025-12-10,Referral,386.79,Completed
O00319,C0135,2025-05-01,Social,60.45,Completed
O00320,C0623,2025-01-06,Social,124.24,Completed
O00321,C0251,2025-01-07,Social,201.06,Completed
O00322,C0149,2025-02-07,Referral,294.54,Completed
O00323,C0467,2025-07-01,Referral,161.9,Completed
O00324,C0070,2026-01-24,Referral,307.48,Completed
O00325,C0586,2025-04-22,Referral,474.25,Completed
O00326,C0266,2025-11-21,Paid Search,383.84,Completed
O00327,C0477,2025-01-25,Email,479.02,Completed
O00328,C0359,2025-12-08,Email,356.15,Completed
O00329,C0786,2025-11-28,Organic Search,345.85,Completed
O00330,C0689,2025-12-13,Paid Search,168.31,Completed
O00331,C0474,2025-12-10,Referral,323.8,Completed
O00332,C0569,2025-11-20,Paid Search,302.98,Completed
O00333,C0288,2025-06-02,Referral,211.87,Completed
O00334,C0192,2026-02-03,Email,276.95,Returned
O00335,C0538,2025-08-10,Organic Search,183.51,Completed
O00336,C0495,2025-01-26,Social,293.9,Completed
O00337,C0147,2025-12-02,Referral,32.09,Completed
O00338,C0005,2025-04-29,Organic Search,71.61,Completed
O00339,C0024,2025-11-16,Email,203.06,Completed
O00340,C0792,2025-11-23,Paid Search,32.67,Returned
O00341,C0212,2025-04-15,Email,190.32,Completed
O00342,C0554,2025-12-13,Paid Search,227.96,Completed
O00343,C0437,2025-03-30,Paid Search,228.49,Completed
O00344,C0774,2025-03-22,Referral,269.82,Completed
O00345,C0482,2026-04-22,Organic Search,118.24,Completed
O00346,C0333,2025-12-05,Paid Search,125.2,Completed
O00347,C0787,2025-10-17,Paid Search,496.9,Completed
O00348,C0411,2026-04-18,Email,214.12,Completed
O00349,C0214,2025-12-15,Referral,348.56,Completed
O00350,C0118,2026-05-14,Email,239.92,Returned
O00351,C0613,2025-03-13,Organic Search,397.78,Completed
O00352,C0776,2025-01-01,Organic Search,70.24,Completed
O00353,C0307,2025-11-21,Email,784.71,Completed
O00354,C0064,2025-10-29,Paid Search,278.31,Completed
O00355,C0443,2025-08-29,Email,137.42,Completed
O00356,C0679,2025-08-05,Organic Search,384.0,Completed
O00357,C0687,2025-10-23,Organic Search,98.51,Completed
O00358,C0087,2025-05-20,Organic Search,446.95,Completed
O00359,C0394,2026-04-06,Paid Search,97.79,Completed
O00360,C0276,2026-05-29,Paid Search,323.37,Completed
O00361,C0146,2025-03-23,Referral,245.31,Completed
O00362,C0701,2025-03-21,Email,191.81,Completed
O00363,C0588,2026-04-26,Referral,62.43,Returned
O00364,C0745,2025-11-08,Referral,127.67,Completed
O00365,C0756,2025-10-26,Email,60.4,Completed
O00366,C0136,2025-09-16,Email,55.59,Completed
O00367,C0675,2025-06-04,Paid Search,485.63,Completed
O00368,C0149,2025-03-28,Email,549.87,Completed
O00369,C0774,2025-09-28,Referral,154.61,Completed
O00370,C0389,2025-08-28,Email,65.15,Completed
O00371,C0392,2026-04-05,Email,634.45,Completed
O00372,C0792,2026-04-18,Email,224.99,Cancelled
O00373,C0561,2025-11-17,Organic Search,60.69,Completed
O00374,C0360,2026-04-02,Organic Search,222.36,Completed
O00375,C0614,2025-08-11,Email,420.48,Completed
O00376,C0114,2025-07-09,Email,147.02,Completed
O00377,C0788,2025-10-11,Paid Search,490.72,Completed
O00378,C0452,2025-07-02,Organic Search,445.74,Completed
O00379,C0586,2025-03-14,Referral,239.85,Completed
O00380,C0717,2025-06-05,Organic Search,99.56,Completed
O00381,C0414,2026-03-23,Referral,128.66,Completed
O00382,C0342,2026-01-03,Email,71.12,Completed
O00383,C0779,2026-04-16,Referral,240.01,Completed
O00384,C0499,2026-01-03,Organic Search,383.4,Completed
O00385,C0512,2025-11-12,Paid Search,375.02,Completed
O00386,C0759,2025-06-02,Email,381.64,Completed
O00387,C0315,2025-02-21,Referral,329.92,Completed
O00388,C0510,2025-04-27,Email,479.12,Completed
O00389,C0701,2025-05-04,Email,221.17,Completed
O00390,C0281,2025-05-04,Organic Search,77.71,Returned
O00391,C0137,2025-02-11,Organic Search,382.91,Completed
O00392,C0711,2026-03-03,Referral,155.48,Completed
O00393,C0611,2025-02-08,Organic Search,70.14,Completed
O00394,C0572,2025-01-05,Organic Search,138.36,Cancelled
O00395,C0476,2025-08-13,Referral,164.32,Completed
O00396,C0164,2025-06-30,Email,77.65,Completed
O00397,C0045,2026-04-10,Organic Search,163.64,Completed
O00398,C0241,2025-03-14,Referral,374.89,Completed
O00399,C0243,2025-04-11,Referral,491.97,Completed
O00400,C0140,2026-01-18,Paid Search,221.52,Completed
O00401,C0288,2025-03-03,Organic Search,498.3,Completed
O00402,C0089,2025-08-24,Paid Search,283.36,Completed
O00403,C0336,2025-09-11,Paid Search,76.94,Completed
O00404,C0042,2025-02-15,Social,631.19,Completed
O00405,C0086,2025-09-04,Email,253.56,Completed
O00406,C0017,2025-04-03,Paid Search,339.18,Completed
O00407,C0475,2026-04-11,Referral,588.06,Completed
O00408,C0304,2025-02-03,Paid Search,396.04,Completed
O00409,C0528,2025-02-26,Social,290.0,Completed
O00410,C0575,2025-03-10,Email,128.88,Completed
O00411,C0772,2025-08-03,Referral,157.56,Completed
O00412,C0065,2025-02-25,Paid Search,129.5,Completed
O00413,C0463,2025-10-27,Email,270.62,Completed
O00414,C0112,2025-03-20,Organic Search,38.29,Completed
O00415,C0301,2025-01-24,Paid Search,221.52,Completed
O00416,C0533,2025-08-26,Email,148.54,Completed
O00417,C0469,2026-04-01,Organic Search,65.66,Completed
O00418,C0789,2025-10-23,Referral,64.32,Returned
O00419,C0187,2025-10-20,Social,225.33,Completed
O00420,C0353,2025-11-21,Organic Search,167.13,Completed
O00421,C0787,2026-05-27,Organic Search,153.89,Completed
O00422,C0663,2025-12-06,Email,218.34,Cancelled
O00423,C0579,2025-05-31,Referral,396.91,Completed
O00424,C0366,2026-04-02,Organic Search,204.4,Returned
O00425,C0201,2025-10-12,Organic Search,278.66,Completed
O00426,C0683,2025-02-27,Paid Search,133.64,Completed
O00427,C0316,2025-12-26,Social,348.7,Completed
O00428,C0143,2026-03-01,Referral,163.36,Returned
O00429,C0091,2026-01-20,Organic Search,295.71,Completed
O00430,C0297,2026-01-26,Email,132.6,Completed
O00431,C0230,2026-04-20,Organic Search,62.25,Completed
O00432,C0670,2025-05-08,Email,188.54,Completed
O00433,C0784,2025-05-03,Organic Search,472.88,Completed
O00434,C0167,2025-09-23,Email,298.06,Completed
O00435,C0370,2025-10-07,Paid Search,203.86,Completed
O00436,C0557,2025-06-21,Organic Search,71.97,Completed
O00437,C0148,2025-12-27,Organic Search,77.28,Returned
O00438,C0105,2025-06-16,Organic Search,439.22,Completed
O00439,C0428,2025-04-27,Paid Search,70.74,Completed
O00440,C0143,2026-01-07,Referral,290.22,Completed
O00441,C0134,2025-08-03,Social,136.0,Completed
O00442,C0202,2025-02-13,Organic Search,361.95,Completed
O00443,C0617,2025-05-07,Organic Search,423.59,Completed
O00444,C0518,2025-09-05,Email,95.3,Returned
O00445,C0773,2025-06-25,Paid Search,655.17,Completed
O00446,C0418,2025-08-22,Organic Search,553.53,Completed
O00447,C0704,2025-11-16,Social,147.44,Completed
O00448,C0488,2025-03-13,Social,273.12,Completed
O00449,C0536,2026-03-25,Email,36.96,Cancelled
O00450,C0067,2025-06-22,Paid Search,239.14,Completed
O00451,C0743,2026-03-11,Paid Search,321.34,Completed
O00452,C0497,2026-02-19,Paid Search,152.9,Completed
O00453,C0031,2025-05-18,Organic Search,59.71,Completed
O00454,C0157,2025-12-01,Organic Search,332.85,Completed
O00455,C0517,2026-05-18,Organic Search,164.6,Completed
O00456,C0393,2025-05-02,Paid Search,627.98,Completed
O00457,C0500,2026-02-03,Referral,268.77,Completed
O00458,C0401,2025-02-27,Organic Search,271.54,Completed
O00459,C0376,2025-05-12,Paid Search,367.74,Completed
O00460,C0058,2025-12-26,Email,75.03,Completed
O00461,C0118,2025-11-09,Organic Search,144.77,Completed
O00462,C0274,2026-03-08,Organic Search,266.64,Completed
O00463,C0501,2025-04-11,Organic Search,347.44,Completed
O00464,C0207,2026-03-23,Paid Search,366.85,Completed
O00465,C0735,2025-04-05,Referral,142.1,Completed
O00466,C0215,2026-03-14,Paid Search,66.24,Completed
O00467,C0205,2025-11-17,Paid Search,162.88,Completed
O00468,C0591,2025-07-11,Paid Search,362.27,Completed
O00469,C0535,2025-03-03,Organic Search,202.4,Completed
O00470,C0421,2026-03-22,Organic Search,377.86,Completed
O00471,C0197,2025-06-03,Organic Search,287.54,Completed
O00472,C0140,2025-10-07,Organic Search,208.96,Completed
O00473,C0086,2025-02-26,Organic Search,129.92,Completed
O00474,C0407,2025-04-03,Social,295.72,Completed
O00475,C0509,2025-09-15,Social,123.64,Completed
O00476,C0767,2026-02-04,Referral,469.67,Completed
O00477,C0325,2025-04-26,Email,630.87,Returned
O00478,C0487,2026-01-07,Email,493.25,Completed
O00479,C0317,2026-01-29,Email,342.08,Completed
O00480,C0309,2025-09-19,Organic Search,661.37,Completed
O00481,C0083,2025-10-08,Referral,529.95,Completed
O00482,C0361,2025-03-09,Paid Search,329.85,Completed
O00483,C0004,2025-05-20,Paid Search,206.05,Completed
O00484,C0609,2025-05-14,Email,349.52,Completed
O00485,C0204,2025-10-16,Organic Search,432.16,Completed
O00486,C0022,2025-08-18,Social,864.5,Completed
O00487,C0377,2025-04-02,Organic Search,264.57,Completed
O00488,C0731,2025-08-18,Organic Search,353.82,Completed
O00489,C0185,2026-03-05,Paid Search,195.93,Completed
O00490,C0379,2025-09-12,Email,339.12,Completed
O00491,C0726,2026-01-28,Paid Search,395.94,Completed
O00492,C0006,2025-02-16,Organic Search,456.26,Completed
O00493,C0516,2025-06-23,Paid Search,155.14,Completed
O00494,C0267,2025-05-26,Organic Search,39.02,Completed
O00495,C0441,2026-01-05,Organic Search,548.87,Returned
O00496,C0055,2026-03-27,Organic Search,172.38,Completed
O00497,C0119,2026-03-23,Social,860.59,Completed
O00498,C0291,2025-07-28,Organic Search,62.54,Completed
O00499,C0539,2025-01-05,Referral,66.21,Completed
O00500,C0027,2025-12-03,Organic Search,692.09,Completed
