order_item_id,order_id,product_id,quantity,unit_price
OI00122,O00074,P014,1,149.17
OI00123,O00074,P004,1,137.38
OI00124,O00074,P006,1,167.05
OI00125,O00075,P002,2,153.79
OI00126,O00076,P015,1,151.22
OI00127,O00077,P016,3,132.99
OI00128,O00078,P008,1,200.4
OI00129,O00079,P010,1,76.08
OI00130,O00079,P002,1,185.19
OI00131,O00080,P008,2,195.68
OI00132,O00081,P004,1,132.32
OI00133,O00082,P010,1,66.46
OI00134,O00083,P007,1,229.17
OI00135,O00084,P004,1,141.09
OI00136,O00085,P006,2,174.04
OI00137,O00086,P003,1,72.7
OI00138,O00087,P006,2,183.56
OI00139,O00087,P001,1,83.5
OI00140,O00087,P007,1,230.24
OI00141,O00088,P013,1,203.13
OI00142,O00089,P015,2,147.57
OI00143,O00090,P006,2,178.91
OI00144,O00091,P012,1,73.59
OI00145,O00092,P010,1,69.85
OI00146,O00092,P008,1,185.94
OI00147,O00093,P001,2,88.52
OI00148,O00093,P007,1,216.27
OI00149,O00094,P011,1,126.42
OI00150,O00095,P012,1,86.91
OI00151,O00096,P002,1,184.72
OI00152,O00097,P006,1,190.44
OI00153,O00097,P003,1,67.5
OI00154,O00097,P004,1,124.67
OI00155,O00097,P010,1,63.97
OI00156,O00098,P003,1,67.64
OI00157,O00099,P005,1,38.62
OI00158,O00099,P006,2,174.77
OI00159,O00100,P012,1,85.97
OI00160,O00100,P002,1,154.92
OI00161,O00101,P016,1,117.22
OI00162,O00102,P013,1,189.29
OI00163,O00102,P005,1,31.83
OI00164,O00103,P011,2,153.81
OI00165,O00104,P008,3,181.4
OI00166,O00104,P006,2,165.89
OI00167,O00105,P003,1,70.2
OI00168,O00106,P006,2,181.18
OI00169,O00107,P008,1,207.03
OI00170,O00107,P003,1,59.62
OI00171,O00108,P006,1,196.49
OI00172,O00108,P012,1,80.26
OI00173,O00108,P002,1,168.35
OI00174,O00109,P004,1,141.35
OI00175,O00110,P002,1,170.71
OI00176,O00111,P016,1,113.33
OI00177,O00112,P013,1,214.03
OI00178,O00113,P006,1,172.49
OI00179,O00114,P004,1,124.45
OI00180,O00115,P014,3,142.63
OI00181,O00116,P002,1,183.06
OI00182,O00117,P006,3,193.1
OI00183,O00118,P005,2,33.73
OI00184,O00119,P011,2,140.73
OI00185,O00120,P014,1,127.22
OI00186,O00120,P002,1,178.05
OI00187,O00121,P012,1,76.8
OI00188,O00121,P015,1,164.94
OI00189,O00122,P013,1,213.37
OI00190,O00122,P001,1,82.64
OI00191,O00123,P010,1,69.0
OI00192,O00123,P005,1,32.55
OI00193,O00124,P011,1,137.73
OI00194,O00125,P016,2,134.17
OI00195,O00125,P013,1,183.71
OI00196,O00125,P009,1,60.57
OI00197,O00126,P002,1,183.67
OI00198,O00126,P004,1,122.58
OI00199,O00126,P001,2,91.3
OI00200,O00127,P015,1,173.73
OI00201,O00128,P003,1,61.59
OI00202,O00128,P005,1,38.96
OI00203,O00128,P001,2,94.0
OI00204,O00129,P001,1,84.21
OI00205,O00130,P010,3,71.18
OI00206,O00130,P012,1,76.69
OI00207,O00131,P013,1,198.23
OI00208,O00131,P010,1,74.06
OI00209,O00132,P011,3,144.27
OI00210,O00133,P010,1,65.38
OI00211,O00133,P004,1,138.22
OI00212,O00133,P003,2,64.92
OI00213,O00134,P010,1,67.95
OI00214,O00135,P007,1,204.41
OI00215,O00135,P006,1,192.21
OI00216,O00136,P006,1,180.34
OI00217,O00137,P008,1,209.96
OI00218,O00137,P006,1,196.06
OI00219,O00138,P003,1,62.02
OI00220,O00139,P005,1,33.3
OI00221,O00140,P003,1,72.96
OI00222,O00140,P008,1,176.94
OI00223,O00141,P006,2,192.01
OI00224,O00141,P008,1,192.19
OI00225,O00142,P007,1,237.3
OI00226,O00143,P008,1,188.56
OI00227,O00143,P004,1,125.52
OI00228,O00144,P010,1,69.41
OI00229,O00145,P016,1,117.6
OI00230,O00146,P005,1,36.18
OI00231,O00146,P004,1,125.06
OI00232,O00147,P002,1,153.05
OI00233,O00148,P013,1,187.57
OI00234,O00149,P014,1,141.93
OI00235,O00150,P004,1,136.27
OI00236,O00151,P007,1,207.71
OI00237,O00151,P006,1,181.3
OI00238,O00152,P003,2,70.87
OI00239,O00153,P004,2,132.51
OI00240,O00154,P006,2,194.76
OI00241,O00155,P002,1,156.23
OI00242,O00156,P009,1,64.45
OI00243,O00156,P015,1,157.95
OI00244,O00156,P012,3,74.98
OI00245,O00157,P004,1,116.81
OI00246,O00157,P003,2,61.54
OI00247,O00158,P013,1,202.35
OI00248,O00159,P014,1,124.79
OI00249,O00160,P008,2,195.66
OI00250,O00160,P011,1,143.61
OI00251,O00161,P013,2,200.16
OI00252,O00161,P003,3,60.09
OI00253,O00162,P006,1,171.65
OI00254,O00162,P002,3,153.13
OI00255,O00162,P013,1,203.66
OI00256,O00163,P015,2,159.5
OI00257,O00163,P002,1,168.87
OI00258,O00164,P001,1,93.18
OI00259,O00164,P014,1,131.69
OI00260,O00165,P012,2,84.37
OI00261,O00165,P014,1,144.93
OI00262,O00165,P001,1,95.32
OI00263,O00166,P001,1,93.74
OI00264,O00166,P006,2,183.24
OI00265,O00167,P014,1,140.45
OI00266,O00168,P011,1,126.92
OI00267,O00168,P002,1,175.02
OI00268,O00169,P005,1,32.18
OI00269,O00169,P008,2,208.64
OI00270,O00169,P001,1,91.36
OI00271,O00170,P005,1,36.26
OI00272,O00170,P002,2,169.1
OI00273,O00171,P010,1,63.84
OI00274,O00172,P007,1,222.57
OI00275,O00173,P006,1,186.61
OI00276,O00173,P009,1,63.77
OI00277,O00174,P010,1,62.1
OI00278,O00174,P015,1,157.28
OI00279,O00174,P014,1,124.6
OI00280,O00175,P002,1,161.75
OI00281,O00176,P008,1,197.37
OI00282,O00177,P013,3,190.04
OI00283,O00177,P007,1,194.95
OI00284,O00177,P016,1,128.92
OI00285,O00178,P012,1,82.63
OI00286,O00178,P013,1,207.03
OI00287,O00179,P006,1,167.05
OI00288,O00180,P009,1,60.06
OI00289,O00181,P010,2,69.84
OI00290,O00181,P008,1,203.31
OI00291,O00182,P014,1,134.52
OI00292,O00183,P007,2,222.31
OI00293,O00184,P008,2,202.29
OI00294,O00185,P001,1,96.34
OI00295,O00185,P015,1,161.57
OI00296,O00186,P004,1,140.87
OI00297,O00187,P007,1,232.13
OI00298,O00187,P014,1,146.68
OI00299,O00188,P005,1,37.12
OI00300,O00189,P003,1,62.48
OI00301,O00190,P001,1,83.95
OI00302,O00191,P003,1,66.28
OI00303,O00192,P015,1,166.68
OI00304,O00192,P007,1,218.47
OI00305,O00193,P010,2,75.82
OI00306,O00193,P011,2,144.48
OI00307,O00194,P002,1,172.36
OI00308,O00195,P012,1,81.11
OI00309,O00195,P004,1,119.55
OI00310,O00196,P002,1,186.21
OI00311,O00196,P014,1,141.42
OI00312,O00197,P016,1,130.25
OI00313,O00197,P006,1,173.32
OI00314,O00198,P010,1,64.11
OI00315,O00199,P008,1,200.6
OI00316,O00200,P016,1,122.06
OI00317,O00201,P009,2,55.94
OI00318,O00202,P003,2,71.06
OI00319,O00203,P009,1,63.95
OI00320,O00203,P016,1,118.51
OI00321,O00203,P015,1,169.12
OI00322,O00204,P001,1,97.81
OI00323,O00205,P006,1,183.93
OI00324,O00206,P002,1,153.57
OI00325,O00206,P004,1,116.39
OI00326,O00206,P013,1,214.56
OI00327,O00207,P011,1,153.84
OI00328,O00208,P006,1,176.35
OI00329,O00208,P007,1,232.12
OI00330,O00209,P012,1,78.43
OI00331,O00210,P009,1,56.54
OI00332,O00211,P004,1,128.08
OI00333,O00211,P008,1,200.86
OI00334,O00212,P005,1,38.41
OI00335,O00212,P011,1,130.42
OI00336,O00213,P010,1,70.65
OI00337,O00213,P002,1,168.31
OI00338,O00214,P006,1,172.54
OI00339,O00214,P010,1,66.85
OI00340,O00215,P001,1,98.03
OI00341,O00216,P002,2,170.07
OI00342,O00217,P001,1,89.9
OI00343,O00217,P015,1,173.87
OI00344,O00217,P013,1,194.83
OI00345,O00218,P004,1,128.03
OI00346,O00218,P007,1,233.19
OI00347,O00219,P001,1,91.58
OI00348,O00219,P010,1,64.88
OI00349,O00220,P009,1,60.93
OI00350,O00221,P016,1,127.31
OI00351,O00222,P005,2,32.7
OI00352,O00222,P014,1,145.38
OI00353,O00223,P002,1,173.74
OI00354,O00223,P003,2,70.7
OI00355,O00224,P003,1,69.34
OI00356,O00225,P002,2,180.23
OI00357,O00226,P010,1,70.55
OI00358,O00226,P004,1,121.45
OI00359,O00227,P006,1,172.97
OI00360,O00228,P003,2,66.92
OI00361,O00229,P007,1,212.62
OI00362,O00230,P010,2,73.48
OI00363,O00230,P006,2,195.66
OI00364,O00231,P016,1,132.51
OI00365,O00232,P001,1,82.98
OI00366,O00232,P008,1,214.94
OI00367,O00233,P001,1,86.7
OI00368,O00234,P006,1,175.9
OI00369,O00235,P007,1,204.98
OI00370,O00235,P008,1,185.36
OI00371,O00236,P004,1,140.85
OI00372,O00236,P015,1,144.7
OI00373,O00237,P009,1,66.58
OI00374,O00238,P002,2,168.2
OI00375,O00238,P009,1,60.51
OI00376,O00239,P015,1,144.88
OI00377,O00239,P006,1,184.5
OI00378,O00240,P016,2,121.65
OI00379,O00241,P012,1,77.91
OI00380,O00241,P014,1,150.99
OI00381,O00242,P014,2,128.59
OI00382,O00243,P016,1,136.06
OI00383,O00244,P002,1,157.11
OI00384,O00244,P007,1,205.85
OI00385,O00245,P012,1,85.8
OI00386,O00246,P007,1,218.7
OI00387,O00246,P010,3,66.02
OI00388,O00246,P015,1,161.63
OI00389,O00247,P005,2,36.56
OI00390,O00248,P003,1,64.08
OI00391,O00249,P009,1,65.05
OI00392,O00249,P015,1,164.2
OI00393,O00250,P008,1,212.76
OI00394,O00251,P003,2,65.87
OI00395,O00252,P009,1,55.24
OI00396,O00253,P015,1,162.18
OI00397,O00253,P011,1,126.59
OI00398,O00254,P009,1,66.13
OI00399,O00254,P016,1,128.14
OI00400,O00254,P008,1,204.99
OI00401,O00255,P012,1,83.72
OI00402,O00255,P008,1,189.43
OI00403,O00256,P005,1,35.78
OI00404,O00256,P006,1,181.14
OI00405,O00257,P008,1,189.75
OI00406,O00257,P013,1,200.25
OI00407,O00258,P013,1,180.42
OI00408,O00259,P009,1,55.04
OI00409,O00259,P007,1,199.35
OI00410,O00260,P011,1,127.01
OI00411,O00261,P015,1,152.3
OI00412,O00262,P016,3,124.81
OI00413,O00263,P002,1,170.48
OI00414,O00263,P005,1,38.45
OI00415,O00263,P013,1,192.88
OI00416,O00264,P002,1,177.24
OI00417,O00265,P011,1,152.93
OI00418,O00265,P003,1,62.84
OI00419,O00265,P016,1,117.87
OI00420,O00265,P012,2,84.68
OI00421,O00266,P006,2,184.64
OI00422,O00267,P016,1,122.39
OI00423,O00267,P012,1,73.11
OI00424,O00268,P005,1,37.68
OI00425,O00269,P012,2,82.54
OI00426,O00269,P013,1,192.72
OI00427,O00270,P010,1,68.98
OI00428,O00271,P006,1,168.4
OI00429,O00272,P013,1,213.54
OI00430,O00273,P003,1,66.78
OI00431,O00274,P011,1,128.79
OI00432,O00274,P007,1,197.37
OI00433,O00275,P016,1,113.49
OI00434,O00276,P009,1,61.82
OI00435,O00276,P001,1,99.37
OI00436,O00277,P012,1,85.12
OI00437,O00277,P009,2,64.19
OI00438,O00278,P010,1,65.03
OI00439,O00279,P007,1,205.6
OI00440,O00280,P004,1,130.69
OI00441,O00281,P013,1,204.25
OI00442,O00282,P011,1,147.87
OI00443,O00282,P014,1,143.74
OI00444,O00283,P009,1,59.18
OI00445,O00283,P006,1,199.7
OI00446,O00283,P008,1,195.59
OI00447,O00284,P011,1,149.56
OI00448,O00285,P005,1,34.45
OI00449,O00285,P002,1,164.28
OI00450,O00286,P013,1,186.12
OI00451,O00287,P004,1,134.83
OI00452,O00287,P010,1,63.05
OI00453,O00287,P011,1,148.07
OI00454,O00288,P008,1,209.07
OI00455,O00289,P005,1,36.98
OI00456,O00290,P003,1,70.19
OI00457,O00290,P004,1,124.25
OI00458,O00291,P014,1,126.71
OI00459,O00292,P008,1,206.12
OI00460,O00292,P004,1,140.01
OI00461,O00293,P012,1,70.92
OI00462,O00294,P005,1,37.87
OI00463,O00294,P008,1,189.76
OI00464,O00295,P005,2,37.89
OI00465,O00296,P007,1,203.94
OI00466,O00297,P005,1,31.96
OI00467,O00297,P012,1,81.4
OI00468,O00298,P009,1,66.09
OI00469,O00298,P001,1,94.25
OI00470,O00299,P013,1,206.4
OI00471,O00299,P004,2,128.23
OI00472,O00299,P007,1,198.34
OI00473,O00300,P008,2,186.96
OI00474,O00301,P010,1,76.01
OI00475,O00302,P001,2,99.73
OI00476,O00303,P013,1,205.09
OI00477,O00304,P010,2,66.66
OI00478,O00305,P007,1,225.48
OI00479,O00305,P014,2,148.99
OI00480,O00306,P011,1,146.57
OI00481,O00306,P002,1,180.91
OI00482,O00306,P009,1,54.55
OI00483,O00307,P009,1,55.53
OI00484,O00307,P003,1,69.86
OI00485,O00308,P008,1,175.64
OI00486,O00309,P012,2,78.58
OI00487,O00309,P003,1,62.01
OI00488,O00310,P007,1,197.35
OI00489,O00311,P015,2,158.85
OI00490,O00312,P002,1,167.44
OI00491,O00312,P009,2,65.24
OI00492,O00313,P002,1,166.83
OI00493,O00314,P002,1,183.17
OI00494,O00315,P005,1,34.21
OI00495,O00316,P015,1,166.27
OI00496,O00316,P002,1,157.13
OI00497,O00316,P005,1,32.49
OI00498,O00317,P006,1,176.93
OI00499,O00318,P006,1,189.46
OI00500,O00318,P014,1,131.83
OI00501,O00318,P003,1,65.5
OI00502,O00319,P009,1,60.45
OI00503,O00320,P016,1,124.24
OI00504,O00321,P007,1,201.06
OI00505,O00322,P010,2,62.63
OI00506,O00322,P006,1,169.28
OI00507,O00323,P002,1,161.9
OI00508,O00324,P003,1,68.93
OI00509,O00324,P005,1,35.72
OI00510,O00324,P008,1,202.83
OI00511,O00325,P003,1,67.69
OI00512,O00325,P008,2,203.28
OI00513,O00326,P012,1,79.04
OI00514,O00326,P015,1,161.03
OI00515,O00326,P003,1,67.75
OI00516,O00326,P010,1,76.02
OI00517,O00327,P007,2,239.51
OI00518,O00328,P001,1,87.05
OI00519,O00328,P011,2,134.55
OI00520,O00329,P011,1,143.55
OI00521,O00329,P007,1,202.3
OI00522,O00330,P002,1,168.31
OI00523,O00331,P002,2,161.9
OI00524,O00332,P011,2,151.49
OI00525,O00333,P013,1,211.87
OI00526,O00334,P010,1,62.38
OI00527,O00334,P012,1,78.67
OI00528,O00334,P014,1,135.9
OI00529,O00335,P002,1,183.51
OI00530,O00336,P011,2,146.95
OI00531,O00337,P005,1,32.09
OI00532,O00338,P003,1,71.61
OI00533,O00339,P007,1,203.06
OI00534,O00340,P005,1,32.67
OI00535,O00341,P009,2,64.31
OI00536,O00341,P003,1,61.7
OI00537,O00342,P016,2,113.98
OI00538,O00343,P015,1,155.65
OI00539,O00343,P010,1,72.84
OI00540,O00344,P003,2,68.98
OI00541,O00344,P014,1,131.86
OI00542,O00345,P009,2,59.12
OI00543,O00346,P016,1,125.2
OI00544,O00347,P004,2,136.59
OI00545,O00347,P007,1,223.72
OI00546,O00348,P008,1,214.12
OI00547,O00349,P014,2,138.55
OI00548,O00349,P010,1,71.46
OI00549,O00350,P004,2,119.96
OI00550,O00351,P013,1,204.36
OI00551,O00351,P006,1,193.42
OI00552,O00352,P010,1,70.24
OI00553,O00353,P010,1,75.1
OI00554,O00353,P015,3,164.06
OI00555,O00353,P007,1,217.43
OI00556,O00354,P002,1,180.25
OI00557,O00354,P001,1,98.06
OI00558,O00355,P011,1,137.42
OI00559,O00356,P013,2,192.0
OI00560,O00357,P001,1,98.51
OI00561,O00358,P015,2,164.79
OI00562,O00358,P016,1,117.37
OI00563,O00359,P001,1,97.79
OI00564,O00360,P012,3,79.84
OI00565,O00360,P001,1,83.85
OI00566,O00361,P009,1,60.77
OI00567,O00361,P008,1,184.54
OI00568,O00362,P010,1,66.87
OI00569,O00362,P016,1,124.94
OI00570,O00363,P010,1,62.43
OI00571,O00364,P016,1,127.67
OI00572,O00365,P003,1,60.4
OI00573,O00366,P009,1,55.59
OI00574,O00367,P009,1,60.29
OI00575,O00367,P013,2,212.67
OI00576,O00368,P016,1,118.89
OI00577,O00368,P013,1,203.43
OI00578,O00368,P007,1,227.55
OI00579,O00369,P015,1,154.61
OI00580,O00370,P009,1,65.15
OI00581,O00371,P002,1,181.08
OI00582,O00371,P016,1,129.74
OI00583,O00371,P009,1,57.59
OI00584,O00371,P011,2,133.02
OI00585,O00372,P007,1,224.99
OI00586,O00373,P003,1,60.69
OI00587,O00374,P007,1,222.36
OI00588,O00375,P004,2,118.72
OI00589,O00375,P002,1,183.04
OI00590,O00376,P015,1,147.02
OI00591,O00377,P011,2,133.66
OI00592,O00377,P005,1,34.7
OI00593,O00377,P003,3,62.9
OI00594,O00378,P007,1,199.26
OI00595,O00378,P010,1,68.13
OI00596,O00378,P016,1,115.44
OI00597,O00378,P003,1,62.91
OI00598,O00379,P001,1,94.1
OI00599,O00379,P015,1,145.75
OI00600,O00380,P001,1,99.56
OI00601,O00381,P003,1,64.65
OI00602,O00381,P009,1,64.01
OI00603,O00382,P003,1,71.12
OI00604,O00383,P006,1,177.06
OI00605,O00383,P009,1,62.95
OI00606,O00384,P007,1,195.51
OI00607,O00384,P003,3,62.63
OI00608,O00385,P015,1,155.83
OI00609,O00385,P001,1,89.4
OI00610,O00385,P016,1,129.79
OI00611,O00386,P002,1,152.03
OI00612,O00386,P012,2,80.66
OI00613,O00386,P003,1,68.29
OI00614,O00387,P006,2,164.96
OI00615,O00388,P003,1,64.0
OI00616,O00388,P013,2,207.56
OI00617,O00389,P007,1,221.17
OI00618,O00390,P012,1,77.71
OI00619,O00391,P013,1,197.22
OI00620,O00391,P016,1,117.36
OI00621,O00391,P003,1,68.33
OI00622,O00392,P005,1,33.83
OI00623,O00392,P004,1,121.65
OI00624,O00393,P003,1,70.14
OI00625,O00394,P004,1,138.36
OI00626,O00395,P009,1,64.22
OI00627,O00395,P001,1,100.1
OI00628,O00396,P012,1,77.65
OI00629,O00397,P006,1,163.64
OI00630,O00398,P011,1,145.32
OI00631,O00398,P007,1,229.57
OI00632,O00399,P013,1,201.27
OI00633,O00399,P015,1,159.13
OI00634,O00399,P004,1,131.57
OI00635,O00400,P012,3,73.84
OI00636,O00401,P015,1,151.87
OI00637,O00401,P007,1,201.45
OI00638,O00401,P003,2,72.49
OI00639,O00402,P007,1,215.28
OI00640,O00402,P010,1,68.08
OI00641,O00403,P005,2,38.47
OI00642,O00404,P002,1,168.23
OI00643,O00404,P007,2,231.48
OI00644,O00405,P014,2,126.78
OI00645,O00406,P015,2,169.59
OI00646,O00407,P013,2,202.98
OI00647,O00407,P003,1,59.36
OI00648,O00407,P016,1,122.74
OI00649,O00408,P007,2,198.02
OI00650,O00409,P002,1,167.74
OI00651,O00409,P016,1,122.26
OI00652,O00410,P011,1,128.88
OI00653,O00411,P012,2,78.78
OI00654,O00412,P004,1,129.5
OI00655,O00413,P003,2,65.66
OI00656,O00413,P004,1,139.3
OI00657,O00414,P005,1,38.29
OI00658,O00415,P005,1,35.1
OI00659,O00415,P008,1,186.42
OI00660,O00416,P011,1,148.54
OI00661,O00417,P010,1,65.66
OI00662,O00418,P010,1,64.32
OI00663,O00419,P005,1,39.17
OI00664,O00419,P003,1,65.42
OI00665,O00419,P004,1,120.74
OI00666,O00420,P006,1,167.13
OI00667,O00421,P011,1,153.89
OI00668,O00422,P010,3,72.78
OI00669,O00423,P011,1,151.85
OI00670,O00423,P012,1,79.56
OI00671,O00423,P002,1,165.5
OI00672,O00424,P007,1,204.4
OI00673,O00425,P015,1,147.42
OI00674,O00425,P011,1,131.24
OI00675,O00426,P014,1,133.64
OI00676,O00427,P003,2,69.57
OI00677,O00427,P004,1,127.1
OI00678,O00427,P012,1,82.46
OI00679,O00428,P005,1,39.13
OI00680,O00428,P004,1,124.23
OI00681,O00429,P009,1,60.0
OI00682,O00429,P007,1,235.71
OI00683,O00430,P010,2,66.3
OI00684,O00431,P009,1,62.25
OI00685,O00432,P006,1,188.54
OI00686,O00433,P003,1,67.14
OI00687,O00433,P010,2,70.96
OI00688,O00433,P012,1,81.91
OI00689,O00433,P006,1,181.91
OI00690,O00434,P015,2,149.03
OI00691,O00435,P012,1,81.0
OI00692,O00435,P001,1,85.38
OI00693,O00435,P005,1,37.48
OI00694,O00436,P010,1,71.97
OI00695,O00437,P012,1,77.28
OI00696,O00438,P007,2,219.61
OI00697,O00439,P005,2,35.37
OI00698,O00440,P011,1,147.3
OI00699,O00440,P003,1,61.12
OI00700,O00440,P012,1,81.8
OI00701,O00441,P004,1,136.0
OI00702,O00442,P002,1,160.27
OI00703,O00442,P008,1,201.68
OI00704,O00443,P006,1,168.04
OI00705,O00443,P011,1,133.66
OI00706,O00443,P016,1,121.89
OI00707,O00444,P001,1,95.3
OI00708,O00445,P004,2,127.96
OI00709,O00445,P015,1,150.7
OI00710,O00445,P016,1,115.47
OI00711,O00445,P009,2,66.54
OI00712,O00446,P004,1,135.67
OI00713,O00446,P008,1,197.2
OI00714,O00446,P002,1,162.91
OI00715,O00446,P009,1,57.75
OI00716,O00447,P014,1,147.44
OI00717,O00448,P001,3,91.04
OI00718,O00449,P005,1,36.96
OI00719,O00450,P007,1,239.14
OI00720,O00451,P009,2,62.29
OI00721,O00451,P013,1,196.76
OI00722,O00452,P015,1,152.9
OI00723,O00453,P003,1,59.71
OI00724,O00454,P003,1,69.93
OI00725,O00454,P011,2,131.46
OI00726,O00455,P001,2,82.3
OI00727,O00456,P015,1,163.18
OI00728,O00456,P008,2,186.88
OI00729,O00456,P001,1,91.04
OI00730,O00457,P016,1,126.79
OI00731,O00457,P011,1,141.98
OI00732,O00458,P013,1,208.74
OI00733,O00458,P010,1,62.8
OI00734,O00459,P001,2,88.18
OI00735,O00459,P013,1,191.38
OI00736,O00460,P010,1,75.03
OI00737,O00461,P011,1,144.77
OI00738,O00462,P001,3,88.88
OI00739,O00463,P011,1,147.9
OI00740,O00463,P008,1,199.54
OI00741,O00464,P003,1,63.31
OI00742,O00464,P014,1,151.47
OI00743,O00464,P015,1,152.07
OI00744,O00465,P011,1,142.1
OI00745,O00466,P010,1,66.24
OI00746,O00467,P015,1,162.88
OI00747,O00468,P015,2,162.38
OI00748,O00468,P005,1,37.51
OI00749,O00469,P008,1,202.4
OI00750,O00470,P003,2,63.02
OI00751,O00470,P011,1,130.25
OI00752,O00470,P004,1,121.57
OI00753,O00471,P010,1,76.19
OI00754,O00471,P008,1,211.35
OI00755,O00472,P009,1,62.3
OI00756,O00472,P011,1,146.66
OI00757,O00473,P003,2,64.96
OI00758,O00474,P005,1,37.26
OI00759,O00474,P004,2,129.23
OI00760,O00475,P004,1,123.64
OI00761,O00476,P007,1,238.2
OI00762,O00476,P003,1,62.85
OI00763,O00476,P002,1,168.62
OI00764,O00477,P008,3,210.29
OI00765,O00478,P001,1,95.75
OI00766,O00478,P011,2,127.16
OI00767,O00478,P010,2,71.59
OI00768,O00479,P004,2,138.22
OI00769,O00479,P009,1,65.64
OI00770,O00480,P008,2,181.09
OI00771,O00480,P005,1,34.17
OI00772,O00480,P004,2,132.51
OI00773,O00481,P016,2,121.38
OI00774,O00481,P012,1,85.58
OI00775,O00481,P007,1,201.61
